Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Slice
192.168.56.112-60.61.0.2-0-0-0,60.61.0.2,0,192.168.56.112,0,0,09/07/2022 12:40:54 AM,119535523,119,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0077713634966905,500148.6317991634,502581.0134565188,1041684.0,201.0,118532998.0,1004516.9322033896,7424.038773118457,1042295.0,998794.0,119535523.0,996129.3583333334,91959.96369774558,1042597.0,395.0,0,0,0,0,0,0,0.9955199677337756,1.012251395762915,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,121,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.2-0-0-0,60.61.0.2,0,192.168.56.112,0,0,09/07/2022 12:42:54 AM,119432505,119,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.009503191781836,499717.5941422594,502194.9763732152,1039437.0,233.0,118428175.0,1003628.601694915,6262.2002565929215,1040081.0,999127.0,119432505.0,995270.875,91752.31790890355,1039726.0,832.0,0,0,0,0,0,0,0.99637866592516,1.0131245258566752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,121,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.1-443-37582-6,60.61.0.1,37582,192.168.56.112,443,6,09/07/2022 12:46:06 AM,38999,7,7,674.0,1632.0,517.0,0.0,96.28571428571428,191.149779218387,1289.0,0.0,233.1428571428572,476.2472847066702,59129.721274904485,358.98356368112,2999.9230769230767,6807.212332782763,25248.0,0.0,38120.0,6353.333333333333,9919.75638141717,26375.0,0.0,38316.0,6386.0,9449.838495974414,25248.0,287.0,0,0,0,0,224,240,179.49178184056,179.49178184056,0.0,1289.0,153.73333333333332,345.4784398207106,119355.35238095236,0,1,0,0,0,0,0,0,1.0,164.71428571428572,96.28571428571428,233.1428571428572,0,0,0,0,0,0,7,674,7,1632,-1,506,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.2-0-0-0,60.61.0.2,0,192.168.56.112,0,0,09/07/2022 12:44:55 AM,119861634,119,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0023087621181603,501513.1129707112,504147.4600736933,1070850.0,160.0,118859573.0,1007284.5169491525,10750.414078873036,1071561.0,999753.0,119861634.0,998846.95,92478.24115337084,1071715.0,966.0,0,0,0,0,0,0,0.992811427883588,1.0094973342345726,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,121,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.1-443-37590-6,60.61.0.1,37590,192.168.56.112,443,6,09/07/2022 12:46:13 AM,114718461,1382,1958,43300.0,2244522.0,1124.0,0.0,31.331403762662795,120.07196797109782,1348.0,0.0,1146.334014300307,453.5748976909478,19942.92793031804,29.11475599380644,34357.13117699908,452516.0254260178,14002203.0,-262.0,114713921.0,83065.83707458359,700983.6387554321,14003473.0,0.0,114717620.0,58619.12110373024,590827.3210648391,14003984.0,2.0,0,0,0,0,44224,62672,12.046884066898352,17.067871926908083,0.0,1348.0,684.7716252618991,654.3766089434728,428208.74633235874,0,1,0,0,0,0,0,0,1.0,684.9766467065868,31.33140376266281,1146.3340143003063,0,0,0,0,0,0,1382,43300,1958,2244522,-1,501,154,0,9968961.333333332,13791260.36157039,37369983.0,811272.0,9149383.166666666,3348145.8838191275,14002203.0,5287427.0,normal,1
192.168.56.112-60.61.0.1-443-37590-6,60.61.0.1,37590,192.168.56.112,443,6,09/07/2022 12:48:35 AM,16424922,6,3,77.0,1383.0,46.0,0.0,12.833333333333334,20.439341150503523,1015.0,38.0,461.0,501.5007477561724,88.88931101164438,0.547947807606027,2053115.25,5805035.156591259,16419844.0,0.0,16423437.0,3284687.3999999994,7344640.644703851,16423180.0,0.0,16421384.0,8210692.0,11611594.201122342,16421329.0,55.0,0,1,0,0,192,96,0.365298538404018,0.182649269202009,0.0,1015.0,179.0,321.8239684465199,103570.66666666669,0,0,0,1,1,0,0,0,0.0,198.88888888888889,12.833333333333334,461.0,0,0,0,0,0,0,6,77,3,1383,-1,501,2,0,1485.0,0.0,1485.0,1485.0,16419844.0,0.0,16419844.0,16419844.0,normal,1
192.168.56.112-60.61.0.1-443-37590-6,192.168.56.112,443,60.61.0.1,37590,6,09/07/2022 12:48:51 AM,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105263.15789473684,19.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,52631.57894736842,52631.57894736842,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.2-0-0-0,60.61.0.2,0,192.168.56.112,0,0,09/07/2022 12:46:55 AM,119011446,118,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999807648753381,502158.0000000001,504880.936550945,1148654.0,203.0,118009755.0,1008630.3846153846,17596.546807515137,1149404.0,999189.0,119011446.0,1000096.1848739496,94015.95840239814,1149443.0,798.0,0,0,0,0,0,0,0.991501271230668,1.0083063775227132,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,118,0,120,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.1-443-37596-6,60.61.0.1,37596,192.168.56.112,443,6,09/07/2022 12:48:35 AM,114263522,101,88,16227.0,25595.0,1133.0,0.0,160.66336633663366,258.3655657098184,1348.0,0.0,290.85227272727263,468.6112900306615,366.0135734307227,1.6540711916791784,607784.6914893619,3164754.571101965,27226980.0,-8.0,114262064.0,1142620.64,4278319.641084446,27228343.0,0.0,114262719.0,1313364.5862068967,4568594.490265338,27270715.0,12.0,0,0,0,0,3232,2832,0.8839216421142699,0.7701495495649084,0.0,1348.0,220.1157894736843,375.3371778865914,140877.99710387076,0,1,0,0,0,0,0,0,0.0,221.2804232804233,160.66336633663366,290.85227272727275,0,0,0,0,0,0,101,16227,88,25595,-1,501,46,0,4179259.8,9006105.494289454,20285160.0,9985.0,18671020.0,6246708.407491821,27226980.0,12390507.0,normal,1
192.168.56.112-60.61.0.2-0-0-0,60.61.0.2,0,192.168.56.112,0,0,09/07/2022 12:48:55 AM,119501008,119,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0083512600998312,500004.2175732217,502635.996869064,1044960.0,216.0,118498582.0,1004225.2711864406,6948.2545796485565,1045186.0,998273.0,119501008.0,995841.7333333332,91848.56310927904,1045766.0,914.0,0,0,0,0,0,0,0.9958074997994996,1.0125437603003316,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,121,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-443-38462-6,60.61.0.5,38462,192.168.56.112,443,6,09/07/2022 12:51:37 AM,8077,6,6,674.0,1289.0,517.0,0.0,112.33333333333334,204.163333306122,1289.0,0.0,214.8333333333333,526.2320464079195,243035.7806116132,1485.700136189179,734.2727272727273,997.4703094237032,2717.0,-7.0,7261.0,1452.2,1265.33185370479,2717.0,135.0,8081.0,1616.2,1686.5158463530663,3445.0,132.0,0,0,0,0,192,208,742.8500680945895,742.8500680945895,0.0,1289.0,150.99999999999997,370.7238415136888,137436.16666666666,0,1,0,0,0,0,0,0,1.0,163.58333333333334,112.33333333333331,214.8333333333333,0,0,0,0,0,0,6,674,6,1289,-1,506,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-443-38462-6,192.168.56.112,443,60.61.0.5,38462,6,09/07/2022 12:51:37 AM,87,1,1,0.0,274.0,0.0,0.0,0.0,0.0,274.0,274.0,274.0,0.0,3149425.2873563217,22988.50574712644,87.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,32,32,11494.25287356322,11494.25287356322,0.0,274.0,182.66666666666669,158.19397375795745,25025.33333333333,0,0,0,1,1,0,0,0,1.0,274.0,0.0,274.0,0,0,0,0,0,0,1,0,1,274,-1,506,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-143-58912-6,60.61.0.5,58912,192.168.56.112,143,6,09/07/2022 12:51:40 AM,10156,4,7,24.0,394.0,14.0,0.0,6.0,7.118052168020875,301.0,0.0,56.285714285714285,110.31275883552529,41157.9361953525,1083.1035840882237,1015.6,1807.772490602116,5895.0,-5.0,8713.0,2904.333333333333,3457.664144091113,6777.0,127.0,10156.0,1692.6666666666663,2699.4196907236687,6743.0,10.0,0,0,0,0,128,240,393.8558487593541,689.2477353288697,0.0,301.0,34.833333333333336,85.77224952091899,7356.878787878788,0,1,0,0,0,0,0,0,1.0,38.0,6.0,56.285714285714285,0,0,0,0,0,0,4,24,7,394,-1,510,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-143-58912-6,60.61.0.5,58912,192.168.56.112,143,6,09/07/2022 12:51:40 AM,174,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11494.25287356322,174.0,0.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,5747.126436781609,5747.126436781609,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,508,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-80-47288-6,60.61.0.5,47288,192.168.56.112,80,6,09/07/2022 12:51:37 AM,5045403,4,4,315.0,496.0,315.0,0.0,78.75,157.5,496.0,0.0,124.0,248.0,160.74038089722464,1.5856017844362482,720771.8571428572,1889019.9950877903,5004597.0,493.0,5042509.0,1680836.3333333333,2878489.1723569734,5004597.0,6260.0,40100.0,13366.666666666666,15360.195647625498,30453.0,703.0,0,0,0,0,128,144,0.7928008922181241,0.7928008922181241,0.0,496.0,90.11111111111111,184.44541499075305,34020.11111111111,0,1,0,0,0,0,0,0,1.0,101.375,78.75,124.0,0,0,0,0,0,0,4,315,4,496,-1,507,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-143-58916-6,60.61.0.5,58916,192.168.56.112,143,6,09/07/2022 12:51:40 AM,10017313,6,6,24.0,336.0,14.0,0.0,4.0,6.324555320336759,301.0,0.0,56.0,120.83873551142447,35.93778091989339,1.197926030663113,910664.8181818182,3016855.841227248,10006826.0,0.0,10016051.0,2003210.2,4474158.027268505,10006826.0,0.0,9855.0,1971.0,2877.3908319865063,6757.0,11.0,0,0,0,0,192,208,0.5989630153315565,0.5989630153315565,0.0,301.0,27.692307692307693,82.74094574371325,6846.064102564102,0,1,0,0,0,0,0,0,1.0,30.0,4.0,56.0,0,0,0,0,0,0,6,24,6,336,-1,510,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-110-41638-6,60.61.0.5,41638,192.168.56.112,110,6,09/07/2022 12:51:40 AM,10017314,6,6,12.0,99.0,6.0,0.0,2.0,3.0983866769659336,83.0,0.0,16.5,33.20090360216119,11.080814677467432,1.1979259110775602,910664.9090909092,3016856.141209768,10006827.0,16.0,10016052.0,2003210.4,4474158.468748934,10006827.0,69.0,9797.0,1959.4,2868.40588132154,6757.0,16.0,0,0,0,0,192,208,0.5989629555387801,0.5989629555387801,0.0,83.0,8.538461538461538,22.85685668319022,522.4358974358975,0,1,0,0,0,0,0,0,1.0,9.25,2.0,16.5,0,0,0,0,0,0,6,12,6,99,-1,510,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
