Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Slice
192.168.56.112-60.61.0.1-80-1920-6,60.61.0.1,1920,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2257206,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860511623662173,2257206.0,0.0,2257206.0,2257206.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4430255811831086,0.4430255811831086,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1921-6,60.61.0.1,1921,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2257206,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860511623662173,2257206.0,0.0,2257206.0,2257206.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4430255811831086,0.4430255811831086,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1922-6,60.61.0.1,1922,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2257206,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860511623662173,2257206.0,0.0,2257206.0,2257206.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4430255811831086,0.4430255811831086,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1923-6,60.61.0.1,1923,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2257261,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860295730090583,2257261.0,0.0,2257261.0,2257261.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4430147865045291,0.4430147865045291,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1924-6,60.61.0.1,1924,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2257261,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860295730090583,2257261.0,0.0,2257261.0,2257261.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4430147865045291,0.4430147865045291,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1925-6,60.61.0.1,1925,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2257261,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860295730090583,2257261.0,0.0,2257261.0,2257261.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4430147865045291,0.4430147865045291,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1926-6,60.61.0.1,1926,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2257310,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860103397406648,2257310.0,0.0,2257310.0,2257310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4430051698703324,0.4430051698703324,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1927-6,60.61.0.1,1927,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2257310,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860103397406648,2257310.0,0.0,2257310.0,2257310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4430051698703324,0.4430051698703324,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1928-6,60.61.0.1,1928,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2256938,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8861563764711304,2256938.0,0.0,2256938.0,2256938.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4430781882355652,0.4430781882355652,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1929-6,60.61.0.1,1929,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2256656,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8862671138179679,2256656.0,0.0,2256656.0,2256656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4431335569089839,0.4431335569089839,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1930-6,60.61.0.1,1930,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2256656,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8862671138179679,2256656.0,0.0,2256656.0,2256656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4431335569089839,0.4431335569089839,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1931-6,60.61.0.1,1931,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2256695,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8862517974294266,2256695.0,0.0,2256695.0,2256695.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4431258987147133,0.4431258987147133,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1932-6,60.61.0.1,1932,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2256251,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886426199921906,2256251.0,0.0,2256251.0,2256251.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.443213099960953,0.443213099960953,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1933-6,60.61.0.1,1933,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2256250,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8864265927977839,2256250.0,0.0,2256250.0,2256250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4432132963988919,0.4432132963988919,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1934-6,60.61.0.1,1934,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2256034,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8865114621499498,2256034.0,0.0,2256034.0,2256034.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4432557310749749,0.4432557310749749,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
192.168.56.112-60.61.0.1-80-1935-6,60.61.0.1,1935,192.168.56.112,80,6,06/07/2022 01:11:39 PM,2255846,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8865853431484241,2255846.0,0.0,2255846.0,2255846.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.443292671574212,0.443292671574212,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,attack,1
